|Titulo|Main Story|Main + Extras|Completionist|All Styles|Rating|Developer|Publishers|Genres
258|Big Thinkers 1st Grade|1 Hours|1½ Hours|--|1½ Hours|73|Humongous Entertainment, Night Dive Studios|Humongous Entertainment|Educational
259|Big Thinkers Kindergarten|--|58 Mins|--|58 Mins|50|Humongous Entertainment, Night Dive Studios|Humongous Entertainment|Educational
260|Pixel Space|--|--|--|--|NR|A Regular Gamer|A Regular Gamer| July 27, 2015
261|Sorcery! 3|7½ Hours|8½ Hours|--|8½ Hours|73|inkle|Android, PC| 2015
262|Summer Athletics|--|--|--|--|80|49 Games|DTP Entertainment| July 04, 2008
263|League of Mermaids|4 Hours|--|27 Hours|7½ Hours|50|Alder Games|Legacy Games|Adventure, Puzzle
264|Fritz For Fun 13|--|--|--|--|NR|Chessbase|Viva Media| August 12, 2013
265|Legends of Atlantis: Exodus|6½ Hours|8½ Hours|--|7 Hours|60|Alder Games|Legacy Games|Strategy
266|The Rivers of Alice|3 Hours|--|3 Hours|3 Hours|40|Delirium Studios|Delirium Studios, PSM|Adventure
267|Naught Reawakening|--|--|--|--|NR|Wild Sphere|Genera Games| September 10, 2015
268|Thea: The Awakening|10 Hours|12 Hours|--|10½ Hours|77|MuHa Games|MuHa Games|Role-Playing, Strategy
269|The Escapists: The Walking Dead|6 Hours|--|--|6 Hours|NR|Team17|Team17|Strategy
270|APT|--|--|--|--|NR|RIP Studios|RIP Studios| August 27, 2015
271|Deliverance|--|--|--|--|NR|TBDTS Games|TBDTS Games| August 31, 2015
272|The Beginner's Guide|1½ Hours|1½ Hours|1½ Hours|1½ Hours|75|Everything Unlimited|Everything Unlimited|First-Person, On-Rails, Interactive Art
273|Wallace & Gromit: The Curse of the Were-Rabbit|--|--|34 Hours|34 Hours|70|Frontier Developments|Konami|Platform
274|BlastZone 2|26 Mins|30 Mins|--|28 Mins|60|Matt Edzegna|Black Shell Media|Top-Down, Scrolling, Shooter
275|RC Mini Racers|--|--|1½ Hours|1½ Hours|NR|Decane|Decane|Racing
276|Deadlands Noir: That Old Time Religion|45 Mins|2½ Hours|6½ Hours|3 Hours|45|SmiteWorks USA|SmiteWorks USA|Adventure
277|We Know the Devil|41 Mins|1 Hours|2 Hours|1½ Hours|69|PC|Visual Novel| 6 Days Ago
278|Doodle Creatures|--|--|2 Hours|2 Hours|50|Android|Point-and-Click, Real-Time, Puzzle| 4 Months Ago
279|Gemology|--|--|--|--|NR|BNC Design Studios|BNC Design Studios| October 01, 2015
280|Lumber Island: That Special Place|2 Hours|--|3 Hours|2½ Hours|NR|DeanForge|DeanForge|First-Person, Adventure, Survival Horror
281|Lost Horizon 2|6 Hours|--|--|6 Hours|60|Animation Arts|Deep Silver|Third-Person, Adventure
282|Warhammer: End Times - Vermintide|8 Hours|30 Hours|112 Hours|12½ Hours|63|Fatshark|Fatshark|First-Person, Shooter
283|Total War: Shogun 2 - Rise of the Samurai|9½ Hours|--|--|9½ Hours|80| DLC/Expansion|The Creative Assembly, Feral Interactive|PC
284|Clockwork Empires|1 Hours|4 Hours|--|2½ Hours|NR|Gaslamp Games|Gaslamp Games| August 15, 2014
285|Warhammer 40,000: Regicide|16 Hours|--|--|16 Hours|40|Hammerfall Publishing|Hammerfall Publishing|Strategy
286|Trog|--|3 Hours|--|3 Hours|65|Midway, Visual Concepts|Acclaim, Software Creations| 1990
287|Expand|2 Hours|2 Hours|2 Hours|2 Hours|72|Chris Johnson, Chris Larkin|Chris Johnson, Chris Larkin|Top-Down, Real-Time, Scrolling, Arcade, Puzzle
288|Zombie Vikings|7 Hours|8½ Hours|--|7½ Hours|74|Zoink Games|Zoink Games|Action, Adventure
289|Rugby: The World Cup|--|--|1 Hours|1 Hours|40|Walking Circles|Domark| 1991
290|Home Alone (2006)|--|--|--|--|20|Coyote Console|Blast! Entertainment| 2 Years Ago
291|Frogger (1998)|9 Hours|--|--|9 Hours|NR|Morning Star Multimedia|Majesco| 1998
292|Streets of Fury EX|--|--|--|--|70|Guard Crush Games|Guard Crush Games|Beat 'em Up
293|Courier of the Crypts|--|--|--|--|NR|Emberheart Games|Emberheart Games| May 21, 2015
294|Senran Kagura 2: Waist Deep DLC|39 Mins|--|--|39 Mins|70| DLC/Expansion|Tamsoft|Nintendo 3DS
295|Euro Fishing|--|28½ Hours|--|28½ Hours|NR|Dovetail Games|Dovetail Games| November 02, 2015
296|The Weaponographist|--|--|--|--|70|Puuba|Mastertronic|Action, Role-Playing
297|Stalin vs. Martians|--|--|--|--|NR|Black Wing Foundation, Dreamlore, N-Game|Mezmer Games| April 29, 2009
298|The Prism|--|--|1 Hours|1 Hours|50|Nikhil T, Gabriel H|The Wanderer|Adventure, Strategy
299|Game Corp DX|4 Hours|4½ Hours|6 Hours|5 Hours|58|Endless Loop Studios|Endless Loop Studios|Simulation
300|Silver Creek Falls: Chapter 2|2 Hours|--|--|2 Hours|NR|Sapphire Dragon Productions|Sapphire Dragon Productions|Adventure
301|Khaba|--|--|4½ Hours|4½ Hours|NR|Hello There|Hello There|Adventure, Puzzle
302|Luxor HD|16 Hours|--|--|16 Hours|50|MumboJumbo|MumboJumbo|Puzzle
303|Rescue Team|5 Hours|6 Hours|7 Hours|6 Hours|NR|Alawar Entertainment|Buka Entertainment| May 05, 2011
304|Garbage Day|--|--|--|--|NR|Svajūnas Žemaitis|Svajūnas Žemaitis| January 18, 2016
305|Sublevel Zero|5 Hours|6½ Hours|--|5 Hours|80|Sigtrap Games|Mastertronic|Action, Roguelike
306|Disney Infinity 3.0: Rise Against the Empire|6 Hours|6 Hours|--|6 Hours|75| DLC/Expansion|PlayStation 4, Xbox One| 3 Months Ago
307|Disney Infinity 3.0: Twilight of the Republic|4 Hours|7 Hours|--|5½ Hours|73| DLC/Expansion|Avalanche|PC, PlayStation 4, Xbox One
308|Steel Strider|2 Hours|--|--|2 Hours|50|ASTRO PORT|Nyu Media|Action
309|MegaSphere|--|--|--|--|NR|AKGames|AKGames| August 25, 2015
310|Seasons After Fall|6 Hours|7 Hours|8 Hours|7 Hours|68|Swing Swing Submarine|Focus Home Interactive|Adventure, Platform
311|On Rusty Trails|3 Hours|4½ Hours|8 Hours|5 Hours|50|Black Pants Studio|Black Pants Studio|Platform
312|Malebolgia|--|--|5 Hours|5 Hours|60|Jochen Mistiaen|Jochen Mistiaen|Adventure
313|Half-Line Miami|1½ Hours|--|--|1½ Hours|40|Stabber Thomas|Top-Down, Action| 2.5 Weeks Ago
314|Making History: The Great War|--|--|--|--|NR|Muzzy Lane Software|Muzzy Lane Software| January 29, 2015
315|Island of the Lizard King|2 Hours|--|--|2 Hours|70|Tin Man Games|Tin Man Games| 4.5 Months Ago
316|Vietcong: Fist Alpha|--|9½ Hours|--|9½ Hours|NR|Pterodon, Illusion Softworks|Gathering of Developers| February 04, 2004
317|Super Shell Monsters Story|24½ Hours|--|--|24½ Hours|80|Hudson Soft|Super Nintendo| 1994
318|BrowserQuest|--|--|1½ Hours|1½ Hours|70|Mads & Peter Sandberg Brun|Mads & Peter Sandberg Brun| January 15, 2013
319|Steredenn|1½ Hours|20 Hours|50 Hours|22 Hours|50|Pixelnest Studio|Plug In Digital|Scrolling, Shooter
320|Batman: Arkham Knight - GCPD Lockdown|27 Mins|28 Mins|31 Mins|30 Mins|69| DLC/Expansion|Rocksteady Studios|PC, PlayStation 4, Xbox One
321|Neugier: Umi to Kaze no Kodo|2½ Hours|--|--|2½ Hours|60|Wolf Team|Telenet Japan| March 26, 1993
322|Tiny Bridge: Ratventure|2½ Hours|7 Hours|10 Hours|5½ Hours|NR|Estelion|Estelion|Simulation
323|Industry Giant 2|--|67 Hours|--|67 Hours|65|Fancy Bytes, Reactor|United Independent Entertainment|Simulation, Strategy
324|Senran Kagura 2: Hipster DLC|--|--|--|--|NR| DLC/Expansion|Tamsoft|Action
325|Senran Kagura 2: Busticated DLC|--|--|--|--|NR| DLC/Expansion|Tamsoft|Action
326|Shutshimi|1½ Hours|4½ Hours|11½ Hours|4 Hours|67|Neon Deity Games|Choice Provisions|Action
327|The Legend of Tango|--|--|--|--|NR|Spilt Milk Studios|Mastertronic| September 11, 2015
328|ChargeShot|--|--|--|--|NR|Cowboy Color|Cowboy Color| September 18, 2015
329|Paperbound|--|--|--|--|NR|Dissident Logic|Dissident Logic| March 31, 2015
330|Runestone Keeper|6 Hours|--|--|6 Hours|65|Blackfire Games|Blackfire Games|Role-Playing, Strategy
331|Samurai Warriors: Chronicles 3|22 Hours|36 Hours|58 Hours|37½ Hours|NR|Omega Force|Koei|Hack and Slash
332|Louie Cooks|--|--|--|--|NR|Starlit Studios|Starlit Studios| 3 Months Ago
333|Almightree: The Last Dreamer|2 Hours|7 Hours|8½ Hours|3 Hours|80|Chocoarts|Digital Tribe|Action, Strategy
334|Skyhill|4 Hours|5 Hours|31½ Hours|6 Hours|63|Mandragora|Daedalic Entertainment|Adventure, Role-Playing
335|Abduction Action! Plus|--|--|--|--|NR|Fun Infused Games|Fun Infused Games| September 01, 2015
336|Arclight Cascade|--|--|--|--|NR|Hexdragonal Games|Hexdragonal Games| August 25, 2015
337|Clown House|5 Mins|24 Mins|35 Mins|15 Mins|20|Gord10, Aslan Game Studio|Aslan Game Studio|Survival Horror
338|Egyptian Senet|--|--|--|--|NR|Ezzat Studios|Ezzat Studios|Simulation
339|Spectra|--|--|--|--|NR|Gateway Interactive|Mastertronic| July 10, 2015
340|The Last Dogma|--|--|--|--|NR|Sasha Darko|Sasha Darko| June 30, 2015
341|Urizen: Shadows of the Cold|--|--|--|--|NR|Bloodshadow Games|Bloodshadow Games| August 31, 2015
342|Last Days of Spring|36 Mins|--|55 Mins|45 Mins|53|Sapphire Dragon Productions|Sapphire Dragon Productions|Simulation, Visual Novel
343|Hammerwatch: Temple of the Sun|5 Hours|11 Hours|--|8 Hours|80| DLC/Expansion|Crackshell|PC
344|High Strangeness|3 Hours|3 Hours|3 Hours|3 Hours|50|Barnyard Intelligence Games, Crystal Labs|Barnyard Intelligence Games|Action, Adventure
345|Shoppe Keep|12½ Hours|29 Hours|99½ Hours|28½ Hours|58|Arvydas Žemaitis|Excalibur, Merge Games|Adventure, Role-Playing
346|Sandmason|--|15 Hours|26½ Hours|20½ Hours|85|GoodVole|GoodVole|First-Person
347|One More Line|--|2½ Hours|--|2½ Hours|50|SMG Studio|SMG Studio| August 25, 2015
348|Cards and Castles|--|--|--|--|NR|Bit Mass|Bit Mass| September 17, 2015
349|A Wise Use of Time|5½ Hours|6½ Hours|--|6 Hours|80|Choice of Games|Choice of Games|Text, Adventure
350|GetClose: A game for RIVALS|--|--|--|--|NR|Wombat Source|JH Specialty| November 27, 2014
351|The Dark Meadow|--|--|--|--|60|Phosphor Games Studio|Phosphor Games Studio| 3 Months Ago
352|Alto's Adventure|2 Hours|--|41 Hours|21½ Hours|70|Snowman|Android, iOS| 1 Week Ago
353|Masochisia|2 Hours|--|--|2 Hours|70|Oldblood|Oldblood|Adventure, Survival Horror
354|Worms 3|--|--|12 Hours|12 Hours|80|Team17|Team17| August 08, 2013
355|Uncharted: The Nathan Drake Collection|27 Hours|30½ Hours|64½ Hours|29½ Hours|87|Bluepoint Games|Sony Computer Entertainment|Third-Person, Action, Adventure
356|Asura Blade: Sword of Dynasty|--|20 Mins|--|20 Mins|60|Y. Takahashi|Fuuki| December 04, 1998
357|The Majesty of Colors|--|--|45 Mins|45 Mins|NR|Future Proof Games|Future Proof Games|Adventure
358|Soosiz|9 Hours|--|--|9 Hours|50|Touch Foo|Touch Foo| October 09, 2009
359|The Logomancer|--|--|--|--|20|Jeffrey Nordin, Justin Nordin|Jeffrey Nordin| August 04, 2015
360|Biodrone Battle|--|--|--|--|NR|Voodoosoft|Voodoosoft| July 16, 2015
361|Galagan's Island: Reprymian Rising|--|--|--|--|NR|Skinny Jean Death Studios|Forever Humble PDX| 4 Months Ago
362|9 Clues 2: The Ward|3 Hours|3 Hours|5 Hours|3½ Hours|68|Tap It Games|Artifex Mundi|Hidden Object
363|StoryMode - A Game About Crafting|--|--|--|--|NR|Nicholas Hydock|Nicholas Hydock| September 07, 2015
364|Escape from Puzzlegate|24 Mins|--|--|24 Mins|NR|Moleworks|Moleworks|Puzzle
365|Draft Day Sports: Pro Basketball 4|--|--|--|--|10|Wolverine Studios|Viva Media| November 24, 2014
366|Hidden Mysteries: Civil War|2½ Hours|--|--|2½ Hours|20|Gunnar Games|GameMill Entertainment|Hidden Object
367|Island Defense|--|--|12 Hours|12 Hours|NR|Stereo7 Games|Stereo7 Games|Action, Strategy
368|Hyperspace Invaders II|--|--|--|--|NR|Entity Medialab|Black Shell Media| September 04, 2015
369|3D Mini Golf|--|--|--|--|NR|Z-Software|Merge Games, Tagstar Games| May 29, 2015
370|Pyroblazer|--|--|--|--|NR|Eipix|Candella Systems| November 13, 2008
371|Athletic World|--|--|--|--|NR|Human Entertainment|Bandai| July 1987
372|Animal Gods|2 Hours|--|--|2 Hours|NR|Still Games|Still Games|Action, Adventure
373|Better Late Than DEAD|--|--|--|--|NR|Odin Game Studio|Merge Games, Excalibur| March 03, 2016
374|The Executive|3 Hours|--|--|3 Hours|80|Riverman Media|Riverman Media| 2015
375|Sonic Dash 2: Sonic Boom|20 Hours|--|--|20 Hours|35|Hardlight|Sega| August 18, 2015
376|Crystal Rift|12 Hours|--|--|12 Hours|NR|Psytec Games|Psytec Games| April 20, 2015
377|Radial-G: Racing Revolved|--|--|--|--|NR|Tammeka Games|Tammeka Games|Racing
378|Piloteer|--|1½ Hours|--|1½ Hours|80|Fixpoint Productions|Fixpoint Productions| September 25, 2015
379|Luminoso|--|--|--|--|NR|Blizzy Games|Blizzy Games| April 17, 2015
380|Man Alive Game|--|--|--|--|NR|Global Empire Soft|Global Empire Soft| May 26, 2015
381|Nanos|--|--|--|--|NR|Excamedia|SOEDESCO Publishing| July 28, 2015
382|Albino Lullaby: Episode 1|3 Hours|--|--|3 Hours|70| DLC/Expansion|Ape Law|PC
383|Retrobooster|--|--|--|--|NR|Really Slick|Really Slick| July 11, 2014
384|Spoko and Poko|--|--|--|--|NR|LemonOrange|LemonOrange| May 18, 2015
385|Superstatic|--|--|--|--|NR|Sleepy Studios|Sleepy Studios| September 15, 2015
386|The Story Goes On|2 Hours|--|--|2 Hours|NR|Scarecrow Arts|KISS| June 10, 2015
387|Twin Robots|--|--|2½ Hours|2½ Hours|NR|Thinice|Thinice|Platform
388|Wave Mechanics|--|--|12½ Hours|12½ Hours|NR|Adam Tarnowski|Adam Tarnowski|Strategy
389|Lucky Rabbit Reflex!|--|--|--|--|NR|Super63|Super63| July 22, 2011
390|Albino Lullaby: Episode 2|--|--|--|--|NR| DLC/Expansion|Ape Law|Adventure
391|Albino Lullaby: Episode 3|--|--|--|--|NR| DLC/Expansion|Ape Law|Adventure
392|Boom Beach|--|--|--|--|NR|Supercell|Supercell| March 26, 2014
393|Lara Croft: Relic Run|6½ Hours|--|--|6½ Hours|57|Square Enix|Square Enix|Action, Adventure
394|Angry Birds 2|--|--|--|--|NR|Rovio Entertainment|Rovio Entertainment| July 30, 2015
395|Star Wars: Uprising|--|--|--|--|NR|Kabam|Kabam| 6.5 Months Ago
396|The Walking Dead: No Man's Land|--|--|--|--|NR|Next Games|AMC| October 07, 2015
397|Downtown Nekketsu Koushinkyoku: Soreyuke Daiundoukai All-Star Special|--|--|--|--|NR|Arc System Works|Arc System Works|Third-Person, Scrolling, Arcade, Beat 'em Up, Party, Sports
398|Ray Tracers|--|--|--|--|80|Taito Corporation|THQ| December 31, 1997
399|SimCity Creator|--|--|--|--|70|Hudson Soft|Electronic Arts|City-Building
400|Red Zone|1½ Hours|--|--|1½ Hours|70|Zyrinx|Time Warner Interactive| 1994
401|Heroes of Legionwood|9 Hours|--|--|9 Hours|80|Dark Gaia Studios|Degica|Top-Down, Role-Playing
402|Sid Meier's Civilization: Beyond Earth - Rising Tide|14 Hours|29 Hours|65 Hours|22 Hours|84| DLC/Expansion|Firaxis Games|Mac, PC
403|Caffeine (2015)|--|--|1½ Hours|1½ Hours|30|Incandescent Imaging|Incandescent Imaging|First-Person, Adventure, Survival Horror
404|The Secret of Tremendous Corporation|42 Mins|--|46 Mins|43 Mins|50|Sebastian Krzyszkowiak, Konrad Burandt, Paweł Radej|Sebastian Krzyszkowiak|Adventure
405|The Secret of Tremendous Corporation: DLC|--|--|--|--|NR| DLC/Expansion|Sebastian Krzyszkowiak, Konrad Burandt, Paweł Radej|Adventure
406|Marble Mayhem: Fragile Ball|1½ Hours|--|3 Hours|2½ Hours|23|Bimboosoft|Bimboosoft| July 07, 2015
407|Pyramid Raid|--|--|--|--|NR|Travian Games|Travian Games| October 12, 2015
408|WRC 5: FIA World Rally Championship|15½ Hours|20 Hours|21½ Hours|18 Hours|59|Kylotonn Racing Games|Bigben Interactive, Plug In Digital|Racing
409|Mushroom 11|5 Hours|5½ Hours|6½ Hours|5½ Hours|70|Untame|Untame|Scrolling, Platform, Puzzle
410|Brawl Busters|--|--|--|--|NR|SkeinGlobe|Rock Hippo Productions| December 15, 2011
411|Cardfight!! Vanguard: Ride to Victory!!|--|--|--|--|NR|Nintendo 3DS|Card Game| 2 Years Ago
412|Crusaders of the Lost Idols|11½ Hours|31 Hours|652 Hours|249 Hours|55|Codename Entertainment|Codename Entertainment| October 13, 2015
413|Wild Season|--|--|--|--|NR|Quickfire Games|Quickfire Games, SOEDESCO| December 07, 2015
414|Rebel Galaxy|20 Hours|31 Hours|51½ Hours|30 Hours|64|Double Damage Games|Double Damage Games|Third-Person, Real-Time, Action, Adventure, Flight Combat, Open World, Role-Playing
415|Rally Copters|--|--|--|--|NR|Depth First Games|Action| 2 Years Ago
416|Extreme Exorcism|3 Hours|3 Hours|--|3 Hours|58|Golden Ruby Games|Ripstone|Action, Adventure
417|Furi|5½ Hours|7 Hours|16½ Hours|6½ Hours|80|The Game Bakers|The Game Bakers|Action
418|Noct|--|--|--|--|20|C3SK|Devolver Digital|Action, Survival, Survival Horror
419|Asphyxia|2½ Hours|4½ Hours|6 Hours|5 Hours|67|ebi-hime|Sekai Project|Simulation
420|Color Assembler|--|--|--|--|NR|Purple Nebula|Purple Nebula| June 03, 2015
421|Fairy Tale Mysteries 2: The Beanstalk|2 Hours|3 Hours|3 Hours|3 Hours|56|GOGI|Artifex Mundi|Hidden Object
422|Gaokao.Love.100Days|5½ Hours|--|34 Hours|9 Hours|65|NVLMaker|PC| May 30, 2015
423|Mahjong Pretty Girls Battle|--|--|--|--|NR|Zoo Corporation|Zoo Corporation|Board Game
424|Mahjong Pretty Girls Battle: School Girls Edition|--|20 Hours|--|20 Hours|NR|Zoo Corporation|Zoo Corporation|Board Game
425|Myths of Orion: Light From The North|--|--|--|--|NR|Cateia Games|Libredia| December 03, 2014
426|Questerium: Sinister Trinity|3½ Hours|3½ Hours|4 Hours|3½ Hours|63|URSE Games|Buka Entertainment|Point-and-Click, Hidden Object
427|Red Crow Mysteries: Legion|2½ Hours|--|--|2½ Hours|40|Cateia Games|Libredia|Point-and-Click, Hidden Object
428|Strangers|--|--|--|--|NR|Fireglow|Empire Interactive, cdv Software| March 26, 2008
429|The Eigengrau Menagerie|--|--|--|--|NR|Ozzie Sneddon|The Librarium| June 04, 2015
430|The Fool|2 Hours|--|--|2 Hours|40|MagicIndie|MumboJumbo|Hidden Object
431|The Guilt and the Shadow|2½ Hours|--|--|2½ Hours|NR|Oophok|Oophok|Platform, Puzzle
432|VERSUS: The Lost Ones|5½ Hours|--|--|5½ Hours|90|Choice of Games|Choice of Games|Text, Adventure, Role-Playing
433|Deus Ex: Revision|32 Hours|32½ Hours|34 Hours|34 Hours|93| Mod|Ion Storm|PC
434|Gem Wars: Attack of the Jiblets|--|--|--|--|NR|Queen Birdface Productions|Queen Birdface Productions| December 15, 2015
435|Black Island|--|1 Hours|--|1 Hours|NR|Helsinki Noir|Helsinki Noir| October 14, 2015
436|Reverse Crawl|3½ Hours|4½ Hours|7½ Hours|4 Hours|59|Nerdook Productions|Digerati Distribution|Role-Playing, Strategy
437|Relive|2 Hours|--|2½ Hours|2 Hours|60|Studio Evil|Studio Evil|Adventure
438|Planetbase|9½ Hours|18½ Hours|--|13 Hours|63|Madruga Works|Madruga Works|Top-Down, Real-Time, City-Building, Simulation, Strategy
439|War of Beach|--|--|--|--|NR|Lucky Girls Limited|Lucky Girls Limited| October 16, 2015
440|InCell|--|--|--|--|NR|Nival VR|Nival|Virtual Reality, Action, Racing, Strategy
441|Lula: The Sexy Empire|17½ Hours|--|--|17½ Hours|NR| Interactive Strip|Take-Two Interactive| 4.5 Months Ago
442|Human Resource Machine|4½ Hours|7 Hours|8 Hours|6 Hours|75|Tomorrow Corporation|Tomorrow Corporation|Puzzle
443|The Room Tribute|3 Hours|5 Hours|--|4½ Hours|63|Newgrounds|Newgrounds|Adventure
444|Curse of the Crescent Isle DX|1½ Hours|2 Hours|2½ Hours|2 Hours|65|Adam Mowery|Adam Mowery|Platform
445|Anode|--|--|--|--|NR|Kittehface Software|Kittehface Software| October 05, 2015
446|Aqua GT|--|--|--|--|NR|East Point Software|Take-Two Interactive| December 22, 2000
447|L.O.L.: Lack of Love|--|--|--|--|NR|Love-de-Lic|ASCII Entertainment| November 02, 2000
448|NEO XYX|--|--|--|--|NR|NG:DEV.TEAM|NG:DEV.TEAM| October 25, 2013
449|Ouka Houshin|--|--|--|--|NR|ESP Software|Strategy| 2 Years Ago
450|Rainbow Cotton|--|--|--|--|NR|Success|On-Rails, Shooter| 2.5 Days Ago
451|Wayne Gretzky Hockey|--|--|--|--|NR|Bethesda Softworks|Bethesda Softworks; THQ| 1988
452|Tubular Worlds|--|--|--|--|NR|Dongleware|Dongleware| 1 Year Ago
453|Trolls|--|--|--|--|NR|Flair Software|Flair Software| 8.5 Months Ago
454|The Aethra Chronicles: Volume One - Celystra's Bane|--|--|--|--|NR|Michael W. Lawrence|Michael W. Lawrence| 1994
455|Underhero|13 Hours|17 Hours|--|15 Hours|80|Paper Castle Games|Paper Castle Games|Adventure, Role-Playing
456|Rune Jade|--|--|--|--|NR|Hudson|Role-Playing| 2 Years Ago
457|Spec Ops II: Omega Squad|--|--|--|--|NR|Runecraft, Zombie Studios|Ripcord Games| October 24, 2000
458|Toy Racer|--|--|--|--|NR|No Cliche|Sega| December 22, 2000
459|Far Cry Primal|14 Hours|24 Hours|35 Hours|24½ Hours|76|Ubisoft Montreal|Ubisoft|First-Person, Action, Adventure
460|All Kamen Rider: Rider Generation|6½ Hours|7 Hours|--|6½ Hours|70|Bandai Namco Games|Beat 'em Up| 1 Year Ago
461|All Kamen Rider: Rider Generation 2|2½ Hours|--|--|2½ Hours|NR|Bandai Namco Games|Beat 'em Up| 1 Month Ago
462|B Team: Metal Cartoon Squad|--|--|--|--|30|Most Wanted Entertainment|Virgin Play| February 20, 2009
463|Gravilon|--|--|--|--|30|Gravdev|Gravdev|Action
464|Eclipse of Illusion|16½ Hours|17½ Hours|--|17 Hours|80|Kemco|Role-Playing| 2 Years Ago
465|MapleStory DS|--|--|--|--|NR|Nexon|Nexon, Nintendo of Korea| November 17, 2011
466|Perfect Golf|--|--|--|--|NR|Perfect Parallel|Perfect Parallel| January 22, 2015
467|Wonderland (1990)|--|5 Hours|--|5 Hours|60|Magnetic Scrolls|Virgin Games| 1990
468|The Games: Winter Challenge|--|--|--|--|NR|MindSpan|Accolade| 1991
469|Sid & Al's Incredible Toons|--|--|--|--|NR|Dynamix|Sierra| 1993
470|Master Spy|4½ Hours|--|--|4½ Hours|NR|TURBOGUN|TURBOGUN|Action, Platform, Stealth
471|Toby: The Secret Mine|2 Hours|2½ Hours|3 Hours|2½ Hours|62|Lukáš Navrátil Games|PC, Xbox One| October 20, 2015
472|Pulse|1½ Hours|2 Hours|--|2 Hours|70|Pixel Pi Games|Pixel Pi Games|Adventure
473|Lords of Chaos|5 Hours|--|--|5 Hours|NR|Target Games|Turn-Based, Strategy| 3.5 Months Ago
474|Mobile Suit Gundam: The Ace Pilot|--|--|--|--|NR|Bandai|Bandai| March 18, 2004
