|Titulo|Main Story|Main + Extras|Completionist|All Styles|Rating|Developer|Publishers|Genres
7838|Dark Parables: The Red Riding Hood Sisters|--|--|3½ Hours|3½ Hours|NR|Blue Tea Games|Big Fish Games|Hidden Object
7839|Dark Parables: The Swan Princess and The Dire Tree|--|--|--|--|NR|Eipix Entertainment|Big Fish Games| July 06, 2016
7840|Dark Parables: The Thief and the Tinderbox|--|--|--|--|NR|Eipix Entertainment|Big Fish Games| September 22, 2016
7841|Demigods|10 Hours|--|--|10 Hours|NR|Realore|Qumaron| October 15, 2015
7842|Elven Legend|7 Hours|--|--|7 Hours|40|Growing Grass Studio|Growing Grass Studio| March 08, 2017
7843|Entwined: Strings of Deception|--|9 Hours|--|9 Hours|NR|Urchin Games|Impossible Mystery Games|Hidden Object
7844|MOAI 4: Terra Incognita|--|--|--|--|NR|Toyman Interactive|Buka Entertainment| June 07, 2016
7845|TransOcean 2: Rivals|--|--|--|--|NR|Deck13 Hamburg|astragon Entertainment|Simulation
7846|Viking Saga: The Cursed Ring|--|--|--|--|NR|Realore|Qumaron| October 29, 2015
7847|When In Rome|--|--|--|--|NR|Realore|Qumaron| October 29, 2015
7848|Cook, Serve, Delicious! 2!!|23 Hours|42½ Hours|69 Hours|30 Hours|76|Vertigo Gaming|Vertigo Gaming|Action, Party, Strategy
7849|Castle Wars VR|--|--|--|--|NR|Arrible|Arrible| May 31, 2017
7850|Distant Nightmare|--|--|--|--|NR|Field Of Vision|Field Of Vision| June 30, 2017
7851|Drone Fighters|--|--|--|--|NR|Surreal Games|Surreal Games| April 21, 2017
7852|Pixel Arcade|--|--|--|--|NR|Corrie Green|CJG Studio| August 11, 2017
7853|Run Of Mydan|--|--|--|--|NR|Virtew|Virtew| July 28, 2017
